Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
1998-07-20,3.7262444496154785,3.7947271358359758,3.686300556108445,3.7890303107059684,8655911
1998-07-21,3.669179916381836,3.714832077905883,3.5550532062916016,3.7034192222108655,8994829
1998-07-22,3.629237413406372,3.7376569982458943,3.589293880731153,3.6748895923377574,10702321
1998-07-23,3.2240843772888184,3.435222226797396,3.1784362747162413,3.418102941702106,46356215
1998-07-24,3.104253053665161,3.366743216046326,3.092841305130721,3.1441969438258464,21242526
1998-07-27,3.0814297199249268,3.1499046472252563,3.0528938830659706,3.127077085854208,9304972
1998-07-28,3.184140682220459,3.2069682412935188,3.1213721898665776,3.149904330132892,7594554
1998-07-29,3.269735813140869,3.321095146055115,3.178436283398134,3.189848401415456,6983937
1998-07-30,3.389570713043213,3.406689997699944,3.2697357204460933,3.2811515318600133,7578722
1998-07-31,3.338214874267578,3.4523419542846554,3.252615501162879,3.4123943735539615,13853862
1998-08-03,3.1670243740081787,3.2925632064072463,3.121372210535772,3.2754439221340967,6634456
1998-08-04,3.1898491382598877,3.1898491382598873,3.1898491382598873,3.1898491382598873,3193358
1998-08-05,3.149905204772949,3.167025232430491,3.0814302653522407,3.1042537676707265,7174103
1998-08-06,3.138493061065674,3.1441972737573702,3.0643098544251552,3.1327855240254556,4619154
1998-08-07,3.366743564605713,3.389571127130145,3.218380475881401,3.246912251089525,12257908
1998-08-10,3.3325068950653076,3.3952897965364572,3.2868558373868617,3.3895708095063712,5800614
1998-08-11,3.0871329307556152,3.2640308997697023,3.0871329307556152,3.2412033417077066,10979244
1998-08-12,3.1670243740081787,3.201259987578445,3.098544651311552,3.1384926029249334,9507860
1998-08-13,3.138493061065674,3.1784365860457524,3.092841629673319,3.167024836313838,4390027
1998-08-14,3.1099607944488525,3.1384929379498243,3.0814297590640116,3.1156653762888293,4884613
1998-08-17,3.0814297199249268,3.092841469064237,3.058601419809801,3.070013907693189,3292368
1998-08-18,3.195551872253418,3.212671153424104,3.1042523636905273,3.1384920341477107,5523738
1998-08-19,3.138493061065674,3.2583243747500257,3.1270772482411213,3.2526160989656914,7756785
1998-08-20,2.9387707710266113,3.104253133629374,2.9330624956942235,3.0985448582969863,9839607
1998-08-21,2.8189358711242676,2.9045308293038206,2.767576347549282,2.881707144672098,13119354
1998-08-24,2.756164073944092,2.84746729068217,2.6591564607916096,2.824642871642634,11681677
1998-08-25,2.8988232612609863,2.90453061331125,2.7561643926169754,2.7675761417411966,6163980
1998-08-26,2.6819851398468018,2.8531713543197355,2.624921406181607,2.8531713543197355,9164019
1998-08-27,2.6249217987060547,2.721928516737421,2.5963898352638446,2.6933974767254694,7835258
1998-08-28,2.5107946395874023,2.596389598684482,2.470846865557045,2.5107946395874023,11991772
1998-08-31,2.2540082931518555,2.5678570161425474,2.1969443852826656,2.550737732970196,16810658
1998-09-01,2.117053508758545,2.225476764344533,2.0086348703231924,2.0086348703231924,12471020
1998-09-02,2.2825400829315186,2.339603063266922,2.248299856875382,2.3338955278373366,11935783
1998-09-03,2.1056416034698486,2.219768519146572,2.0314583972387705,2.219768519146572,7526818
1998-09-04,2.1398813724517822,2.2768319422937466,2.105641144387463,2.105641144387463,9969552
1998-09-07,2.3110721111297607,2.3396040753550325,2.1684132134336878,2.254009106109502,7628824
